model,f1,precision,recall,f1_pa,roc_auc,pr_auc,params,train_s,infer_s
LSTM-VAE,0.4772505365056641,0.5035022661720217,0.45360059391222957,0.9983299308412513,0.8787395599986699,0.5145227790412725,65542,12.258608341217041,0.3131422996520996
DDPM-vanilla,0.7355612677117651,0.6832219038520588,0.7965850037116567,0.9975930378258693,0.974572743975761,0.7829056137076401,84454,53.32010769844055,16.890981912612915
DDPM-masking,0.7091264894490145,0.6809019473861698,0.7397921306604529,0.9970370365366702,0.9558736015757047,0.7004364668050833,89318,52.78269338607788,81.90340638160706
DDPM-selective,0.6943490472801277,0.5991379310343213,0.8255382331103097,0.9983324063923495,0.9671841806474905,0.7223936347027688,84454,54.316853761672974,7.719360589981079
